CODICE VEICOLO;TARGA;BRAND;MODELLO;DESCRIZIONE MOD.;ALIMENTAZIONE;CAMBIO;COLORE ESTERNO;COLORE INTERNO;OPTIONAL;PREVISTA CONSEGNA;neopatentati
40788227;;VOLKSWAGEN;GOLF;VOLKSWAGEN GOLF 2.0 TDI SCR 110KW Edition Plus DSG Hatchback 5-door (Euro 6E) ;Diesel;AUT7;Dolphin Grey Metall.;Tessuto Life nero;"Ruota di scorta di dimensioni ridotte da 18""";13/04/2026;NO
40788244;;VOLKSWAGEN;GOLF;VOLKSWAGEN GOLF 2.0 TDI SCR 110KW Edition Plus DSG Hatchback 5-door (Euro 6E) ;Diesel;AUT7;Grenadill Black Metall.;Tessuto Life nero;"Ruota di scorta di dimensioni ridotte da 18""";31/03/2026;NO
40788250;;VOLKSWAGEN;GOLF;VOLKSWAGEN GOLF 2.0 TDI SCR 110KW Edition Plus DSG Hatchback 5-door (Euro 6E) ;Diesel;AUT7;Grenadill Black Metall.;Tessuto Life nero;"Ruota di scorta di dimensioni ridotte da 18""";31/03/2026;NO
40788671;;CITROËN;C3 AIRCROSS;CITROËN C3 AIRCROSS Turbo 100 cv Manuale PLUS Sport utility vehicle 5-door (Euro 6E) ;Petrol;MAN6;Polar White pastello;Tessuto Nero/Quadric;Kit di riparazione,Polar White pastello;13/07/2026;SI
40788785;;FIAT;DUCATO;FIAT DUCATO 33 L2H2 140CV 2.2 Diesel Manuale Furgone 4-door (Euro 6E) ;Diesel;MAN6;Bianco Ducato pastello;Tessuto Standard Nero Crèpe;"Paratia divisoria con vetro scorrevole,Porta posteriore battente apertura 270°,Radio dispaly 7"" AA/CP + doppia presa USB,Ruota di scorta + Arganello";01/06/2026;ND
40798786;;KIA;SPORTAGE;KIA SPORTAGE 1.6 CRDi MHEV DCT7 Style Sport utility vehicle 5-door (Euro 6E) ;Diesel Mild Hybrid;AUT7;Deluxe White Perlato;KIA Tex Essential;Vernice perlata;25/08/2026;SI
40798800;;KIA;SPORTAGE;KIA SPORTAGE 1.6 T-GDi HEV AT6 Style Sport utility vehicle 5-door (Euro 6E) ;Petrol Full Hybrid;AUT6;Dark Penta Metal Metallizzato;KIA Tex Essential;Vernice metallizzata;27/04/2026;NO
40798824;;KIA;SPORTAGE;KIA SPORTAGE 1.6 T-GDi HEV AT6 Style Sport utility vehicle 5-door (Euro 6E) ;Petrol Full Hybrid;AUT6;Dark Penta Metal Metallizzato;KIA Tex Essential;Ruotino di scorta,Vernice metallizzata;25/06/2026;NO
40798835;;KIA;SPORTAGE;KIA SPORTAGE 1.6 T-GDi HEV AT6 Style Sport utility vehicle 5-door (Euro 6E) ;Petrol Full Hybrid;AUT6;Dark Penta Metal Metallizzato;KIA Tex Essential;Ruotino di scorta,Vernice metallizzata;25/06/2026;NO
40798854;;KIA;SPORTAGE;KIA SPORTAGE 1.6 T-GDi HEV AT6 Style Sport utility vehicle 5-door (Euro 6E) ;Petrol Full Hybrid;AUT6;Black Pearl Metallizzato;KIA Tex Essential;Ruotino di scorta,Vernice metallizzata;25/06/2026;NO
40798895;;KIA;SPORTAGE;KIA SPORTAGE 1.6 T-GDi HEV AT6 Style Sport utility vehicle 5-door (Euro 6E) ;Petrol Full Hybrid;AUT6;Deluxe White Perlato;KIA Tex Essential;Ruotino di scorta,Vernice perlata;25/06/2026;NO
40798900;;KIA;SPORTAGE;KIA SPORTAGE 1.6 T-GDi HEV AT6 Style Sport utility vehicle 5-door (Euro 6E) ;Petrol Full Hybrid;AUT6;Deluxe White Perlato;KIA Tex Essential;Ruotino di scorta,Vernice perlata;25/06/2026;NO
40798904;;NISSAN;QASHQAI;NISSAN QASHQAI 1.5 HEV e-Power Acenta Auto Cross over 5-door (Euro 6E) ;Petrol Full Hybrid;AUT;White Pearl;Monoform Tessuto nero;Ruotino di scorta (per opzionali singoli e loro combinazioni verificare la disponibilità),Vernice perlata;21/05/2026;NO
40798970;;NISSAN;JUKE;NISSAN JUKE 1.0 DIG-T 114 Acenta Mt Cross over 5-door (Euro 6D) ;Petrol;MAN6;Pearl White metallizzato;Tessuto Black;Ruotino di scorta (opzionali singoli e loro combinazioni soggetti a restrizioni, verificare disponibilità),Vernice metallizzata;21/05/2026;SI
40799061;;NISSAN;QASHQAI;NISSAN QASHQAI 1.5 HEV e-Power Acenta Auto Cross over 5-door (Euro 6E) ;Petrol Full Hybrid;AUT;Pearl Black;Monoform Tessuto nero;Ruotino di scorta (per opzionali singoli e loro combinazioni verificare la disponibilità),Vernice perlata;21/05/2026;NO
40799101;;NISSAN;QASHQAI;NISSAN QASHQAI 1.5 HEV e-Power Acenta Auto Cross over 5-door (Euro 6E) ;Petrol Full Hybrid;AUT;Newport Grey metallic;Monoform Tessuto nero;Ruotino di scorta (per opzionali singoli e loro combinazioni verificare la disponibilità),Vernice metallizzata;21/05/2026;NO
40791830;;FORD;PUMA;FORD PUMA 1.0 Ecoboost Hybrid 125CV Titanium Sport utility vehicle 5-door (Euro 6D) ;Petrol Mild Hybrid;MAN6;Solar Silver metallizzato;Sedili in tessuto;Ruotino di scorta,Vernice metallizzata Solar Silver;18/06/2026;SI
40791838;;FORD;PUMA;FORD PUMA 1.0 Ecoboost Hybrid 125CV Titanium Sport utility vehicle 5-door (Euro 6D) ;Petrol Mild Hybrid;MAN6;Solar Silver metallizzato;Sedili in tessuto;Ruotino di scorta,Vernice metallizzata Solar Silver;18/06/2026;SI
40792255;;FORD;PUMA;FORD PUMA 1.0 Ecoboost Hybrid 125CV ST-Line Sport utility vehicle 5-door (Euro 6D) ;Petrol Mild Hybrid;MAN6;Digital Aqua Blue metallizzato;Sedili in tessuto;Ruotino di scorta,Vernice metallizzata Digital Aqua Blue;27/04/2026;SI
40792384;;FORD;KUGA;FORD KUGA 2.5 Benzina FHEV 180CV 2WD Titanium Auto Sport utility vehicle 5-door (Euro 6D) ;Petrol Full Hybrid;AUT;Magnetic Grey metallizzato;Sedili in tessuto Kylo/Eton con impunture;Ruotino di scorta,Vernice premium Magnetic Grey;27/04/2026;NO
40792421;;FORD;KUGA;FORD KUGA 2.5 Benzina FHEV 180CV 2WD ST-Line Auto Sport utility vehicle 5-door (Euro 6D) ;Petrol Full Hybrid;AUT;Magnetic Grey metallizzato;Sedili in tessuto Mira con impunture;Ruotino di scorta,Vernice premium Magnetic Grey;25/03/2026;NO
40792429;;FORD;KUGA;FORD KUGA 2.5 Benzina FHEV 180CV 2WD ST-Line Auto Sport utility vehicle 5-door (Euro 6D) ;Petrol Full Hybrid;AUT;Magnetic Grey metallizzato;Sedili in tessuto Mira con impunture;Ruotino di scorta,Vernice premium Magnetic Grey;25/03/2026;NO
40792436;;FORD;KUGA;FORD KUGA 2.5 Benzina FHEV 180CV 2WD ST-Line Auto Sport utility vehicle 5-door (Euro 6D) ;Petrol Full Hybrid;AUT;Magnetic Grey metallizzato;Sedili in tessuto Mira con impunture;Ruotino di scorta,Vernice premium Magnetic Grey;25/03/2026;NO
40792443;;FORD;KUGA;FORD KUGA 2.5 Benzina FHEV 180CV 2WD ST-Line Auto Sport utility vehicle 5-door (Euro 6D) ;Petrol Full Hybrid;AUT;Agate Black metallizzato;Sedili in tessuto Mira con impunture;Ruotino di scorta,Vernice metallizzata;25/03/2026;NO
40792447;;FORD;KUGA;FORD KUGA 2.5 Benzina FHEV 180CV 2WD ST-Line Auto Sport utility vehicle 5-door (Euro 6D) ;Petrol Full Hybrid;AUT;Agate Black metallizzato;Sedili in tessuto Mira con impunture;Ruotino di scorta,Vernice metallizzata;25/03/2026;NO
40792455;;FORD;KUGA;FORD KUGA 2.5 Benzina FHEV 180CV 2WD ST-Line Auto Sport utility vehicle 5-door (Euro 6D) ;Petrol Full Hybrid;AUT;Agate Black metallizzato;Sedili in tessuto Mira con impunture;Ruotino di scorta,Vernice metallizzata;25/03/2026;NO
40792462;;FORD;KUGA;FORD KUGA 2.5 Benzina FHEV 180CV 2WD ST-Line Auto Sport utility vehicle 5-door (Euro 6D) ;Petrol Full Hybrid;AUT;Solar Silver metallizzato;Sedili in tessuto Mira con impunture;Ruotino di scorta,Vernice metallizzata;27/04/2026;NO
40792667;;FORD;TRANSIT;FORD TRANSIT 350 L3H2 Trend 2.0 Eco 130 cv Furgone 4-door (Euro 6E) ;Diesel;MAN6;Frozen White pastello;Tessuto Trend;Illuminazione LED vano di carico,Paratia completa in acciaio,Porte posteriori apertura 270°,Rigenerazione manuale FAP (SVO A660),Rivestimento protettivo vano di carico,Ruota di scorta,Specchietti retrovisori esterni elettrici, riscaldati e ripiegabili elettricamente braccio corto;25/04/2026;ND
40792689;;FORD;TRANSIT;FORD TRANSIT 350 L3H2 Trend 2.0 Eco 130 cv Furgone 4-door (Euro 6E) ;Diesel;MAN6;Frozen White pastello;Tessuto Trend;Illuminazione LED vano di carico,Paratia completa in acciaio,Porte posteriori apertura 270°,Rigenerazione manuale FAP (SVO A660),Rivestimento protettivo vano di carico,Ruota di scorta,Specchietti retrovisori esterni elettrici, riscaldati e ripiegabili elettricamente braccio corto;25/04/2026;ND
40792731;;FORD;TRANSIT;FORD TRANSIT 310 L2H2 Trend 2.0 Eco 130 cv Furgone 4-door (Euro 6E) ;Diesel;MAN6;Frozen White pastello;Tessuto Trend;Illuminazione LED vano di carico,Paratia completa in acciaio,Porte posteriori con blocco magnetico,Rigenerazione manuale FAP (SVO A660),Rivestimento protettivo vano di carico,Ruota di scorta,Specchietti retrovisori esterni elettrici, riscaldati e ripiegabili elettricamente braccio corto;25/04/2026;ND
40792796;;FORD;TRANSIT ALLESTITO;FORD TRANSIT ALLESTITO 350 L3 Trend 2.0 Eco 130Cv SCAT Cassone a sponde abbattibili 2-door (Euro 6E) ;Diesel;MAN6;Frozen White pastello;Tessuto Trend;Paraspruzzi anteriori,Rigenerazione manuale FAP (SVO A660),Ruota di scorta,Seat Pack 8A,Specchietti retrovisori esterni elettrici, riscaldati e ripiegabili elettricamente braccio corto;25/05/2026;ND
